# This file is generated on 25-Nov-2021 at 16:51:56 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 1.7000e+00, 1.1562e+01
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 3.0000e+00, 8.6655e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 5.1000e+00, 6.4928e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 8.3000e+00, 4.9088e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 1.2000e+01, 3.9001e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 1.9000e+01, 2.8193e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 3.0000e+01, 1.9949e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 4.0000e+01, 1.6630e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 5.0000e+01, 1.4328e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 6.0000e+01, 1.3284e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 7.0000e+01, 1.2643e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 8.0000e+01, 1.2149e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 9.0000e+01, 1.1757e+00
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 9.9990e+01, 1.1437e+00
